id,koolinimi,vald,maakond,opilasi
1,Viimsi Keskkool,Viimsi vald,Harju maakond,1599
2,Tartu Kivilinna Gümnaasium,Tartu linn,Tartu maakond,1439
3,Tallinna 21. Kool,Tallinn linn,Harju maakond,1167
4,Keila Kool,Keila linn,Harju maakond,1133
5,Tallinna Linnamäe Vene Lütseum,Tallinn linn,Harju maakond,1035
6,Tartu Tamme Gümnaasium,Tartu linn,Tartu maakond,1025
7,Gustav Adolfi Gümnaasium,Tallinn linn,Harju maakond,1017
8,Pärnu Koidula Gümnaasium,Pärnu linn,Pärnu maakond,972
9,Tallinna Reaalkool,Tallinn linn,Harju maakond,963
10,Narva Humanitaargümnaasium,Narva linn,Ida-Viru maakond,926
11,Vanalinna Hariduskolleegium,Tallinn linn,Harju maakond,917
12,Tallinna Humanitaargümnaasium,Tallinn linn,Harju maakond,906
13,Jüri Gümnaasium,Rae vald,Harju maakond,905
14,Tabasalu Ühisgümnaasium,Harku vald,Harju maakond,903
15,Tallinna Läänemere Gümnaasium,Tallinn linn,Harju maakond,893
16,Tallinna Saksa Gümnaasium,Tallinn linn,Harju maakond,892
17,Kadrioru Saksa Gümnaasium,Tallinn linn,Harju maakond,890
18,Kuressaare Gümnaasium,Kuressaare linn,Saare maakond,886
19,Tallinna Õismäe Vene Lütseum,Tallinn linn,Harju maakond,885
20,Narva Pähklimäe Gümnaasium,Narva linn,Ida-Viru maakond,873
21,Rakvere Reaalgümnaasium,Rakvere linn,Lääne-Viru maakond,871
22,Saku Gümnaasium,Saku vald,Harju maakond,870
23,Pelgulinna Gümnaasium,Tallinn linn,Harju maakond,861
24,Tallinna Lilleküla Gümnaasium,Tallinn linn,Harju maakond,858
25,Valga Põhikool,Valga linn,Valga maakond,850
26,Võru Kreutzwaldi Gümnaasium,Võru linn,Võru maakond,845
27,Tallinna 32. Keskkool,Tallinn linn,Harju maakond,842
28,Narva Soldino Gümnaasium,Narva linn,Ida-Viru maakond,833
29,Lasnamäe Gümnaasium,Tallinn linn,Harju maakond,831
30,Jakob Westholmi Gümnaasium,Tallinn linn,Harju maakond,825
31,Tallinna Õismäe Gümnaasium,Tallinn linn,Harju maakond,825
32,Tartu Kommertsgümnaasium,Tartu linn,Tartu maakond,822
33,Narva Kesklinna Gümnaasium,Narva linn,Ida-Viru maakond,821
34,Saue Gümnaasium,Saue linn,Harju maakond,812
35,Tartu Annelinna Gümnaasium,Tartu linn,Tartu maakond,812
36,Lasnamäe Vene Gümnaasium,Tallinn linn,Harju maakond,810
37,Pärnu Ülejõe Gümnaasium,Pärnu linn,Pärnu maakond,786
38,Miina Härma Gümnaasium,Tartu linn,Tartu maakond,784
39,Tallinna Arte Gümnaasium,Tallinn linn,Harju maakond,781
40,Pirita Majandusgümnaasium,Tallinn linn,Harju maakond,778
41,Tallinna Mustamäe Humanitaargümnaasium,Tallinn linn,Harju maakond,776
42,Tartu Mart Reiniku Kool,Tartu linn,Tartu maakond,776
43,Tallinna Pae Gümnaasium,Tallinn linn,Harju maakond,764
44,Pärnu Ühisgümnaasium,Pärnu linn,Pärnu maakond,760
45,Elva Gümnaasium,Elva linn,Tartu maakond,752
46,Tallinna Ühisgümnaasium,Tallinn linn,Harju maakond,743
47,Tallinna 53. Keskkool,Tallinn linn,Harju maakond,738
48,Rocca al Mare Kool,Tallinn linn,Harju maakond,730
49,Viljandi Jakobsoni Kool,Viljandi linn,Viljandi maakond,727
50,Kohila Gümnaasium,Kohila vald,Rapla maakond,725
51,Rakvere Gümnaasium,Rakvere linn,Lääne-Viru maakond,722
52,Tallinna Tehnikagümnaasium,Tallinn linn,Harju maakond,721
53,Põlva Ühisgümnaasium,Põlva linn,Põlva maakond,716
54,Tartu Karlova Gümnaasium,Tartu linn,Tartu maakond,716
55,Narva Kreenholmi Gümnaasium,Narva linn,Ida-Viru maakond,712
56,Tallinna Prantsuse Lütseum,Tallinn linn,Harju maakond,709
57,Ülenurme Gümnaasium,Ülenurme vald,Tartu maakond,697
58,Tallinna Rahumäe Põhikool,Tallinn linn,Harju maakond,690
59,Põltsamaa Ühisgümnaasium,Põltsamaa linn,Jõgeva maakond,686
60,Tallinna Tõnismäe Reaalkool,Tallinn linn,Harju maakond,677
61,Saaremaa Ühisgümnaasium,Kuressaare linn,Saare maakond,674
62,Tartu Descartesi Lütseum,Tartu linn,Tartu maakond,674
63,Jõhvi Vene Gümnaasium,Jõhvi vald,Ida-Viru maakond,668
64,Tallinna Mahtra Gümnaasium,Tallinn linn,Harju maakond,668
65,Viljandi Kesklinna Kool,Viljandi linn,Viljandi maakond,667
66,Maardu Gümnaasium,Maardu linn,Harju maakond,665
67,Tallinna Inglise Kolledž,Tallinn linn,Harju maakond,665
68,Tallinna Kristiine Gümnaasium,Tallinn linn,Harju maakond,664
69,Kohtla-Järve Ahtme Gümnaasium,Kohtla-Järve linn,Ida-Viru maakond,661
70,Tallinna Kesklinna Vene Gümnaasium,Tallinn linn,Harju maakond,659
71,Ehte Humanitaargümnaasium,Tallinn linn,Harju maakond,645
72,Tartu Vene Lütseum,Tartu linn,Tartu maakond,644
73,Jõhvi Gümnaasium,Jõhvi vald,Ida-Viru maakond,637
